Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Uganda,20976.35833719189,22211.426908335623,22513.65014071048,22211.6609091856,30445.537358440542,29975.470203574725,35272.394094657546,39377.69369782489,44589.54625420874,53034.88643296966,71336.09750950595,85364.91341140562
Eritrea,2478.380873976253,2243.2828453616985,2219.636888448368,2108.204855465161,2972.413709634834,3069.1383176880136,2655.805205157545,2726.1672631814804,2292.7203233304567,2235.1220799786206,2445.7773136892733,2456.772491709508
Ethiopia,47192.43239666143,50634.21796138715,56298.52579830637,56262.30519090292,71447.59998306421,64427.19721106692,62853.23559283213,71406.64599752145,74338.4186086664,78194.89920415568,93645.491399209,120507.90229121926
Comoros,319.71091991608193,244.1563324728362,176.4877442048163,190.47609293926004,470.69232175589775,549.058833622465,453.49859848343857,470.6750192186412,529.9564663289809,622.6487278980952,633.1280527440939,632.1565565663226
Djibouti,3232.446824588715,3288.239866534061,3796.594873822584,4288.881910389033,5154.645641636902,5670.611415227021,5788.650444800655,5915.925574483007,6340.02516104234,6397.001442369878,7116.583606443452,7561.375584306788
Zambia,101678.80886181362,101603.5695763146,101734.79518501998,107197.73336868612,125162.6784863394,118495.34532080324,107142.3389876609,106191.3436585432,112944.41003820227,111250.54340177278,134214.49008945056,116796.4647295628
Rwanda,9075.845196171507,9652.400220670015,10145.762702778524,10437.524713377528,13432.640158366868,14386.90047007922,14565.605347127244,17053.56026951029,21197.590865891965,25074.9025332455,36194.08772190216,42430.48107181905
Mozambique,74761.58827644885,80907.85354451677,87018.65645701648,83997.76456214028,94962.98496174312,96830.00357454544,98289.07032289062,102776.87930825392,113370.63755983168,118858.26490370698,136520.37626280772,148438.00520585454
Somalia,3444.508294094632,3993.887752885416,4699.723849200136,5107.569508027258,6874.904315856976,8359.4634468386,10320.7780320427,12939.517975347182,16333.016302962978,17818.564540878586,20692.57907144569,23501.90447303372
Seychelles,1329.2503628379282,1317.9706437083728,1430.916775159012,1359.353537914625,1524.9270031393746,1558.8307125182714,1469.0923635968386,1476.625415253406,1610.2355111940235,1612.1572362828483,1671.7054520100935,1850.1019681539028
Mauritius,15195.363888149035,14767.06446338532,14066.167182869302,14825.2302436246,16857.00393373288,17421.431134623646,17677.425207121356,17654.46287641828,18970.52311642104,21408.561340332097,24032.7481554438,26299.7381762652
Burundi,2114.418780543841,1804.090714244928,1870.6786870299163,1893.1056699638348,1637.990661802245,3096.254880106157,3121.868894225797,3786.672248207296,5434.803682204847,4877.615024995804,7519.929884435383,8945.10502891669
Madagascar,10605.539971130263,10290.102039670626,9816.810638374483,9927.05019468214,12062.174348390045,11786.136870007304,12586.208015802327,12828.791282286713,14091.40692567878,15622.038309090804,17328.777275042325,18821.363824033386
Malawi,25558.3379882446,23779.42620823264,24160.38936295499,20283.145745599875,23383.876303010307,24575.798819715656,23776.17347608609,25916.644133654,29596.466463897163,26383.91185714742,31391.586042864365,35085.32277241677
Zimbabwe,56222.7015967645,50081.8778473666,48325.36449397513,48154.59711436078,54246.90783437765,52887.76262237389,49409.112783389726,49187.11809055338,58046.52632347175,64631.85523049898,81052.27606920266,95426.69480713268
United Republic of Tanzania,46782.53751542554,49429.7444392374,54326.12289088798,58301.67145322335,73554.93112160897,80282.62983664668,84862.62373504558,99223.80470641825,129954.990306456,153049.52638788737,193914.01577445745,227171.2819206401
Kenya,60664.14206974115,70669.0421439923,88040.0931083892,94093.40912319112,128144.08620522916,139240.17288643005,156155.06247901518,147925.76314660336,165377.2246722051,194539.3402354708,227424.72391698297,240261.6417482505
Equatorial Guinea,10935.034653815535,12956.624457126956,14634.80543383804,13203.29674607107,14151.069123282909,15661.072217710518,14463.55761445954,13276.220163615311,13314.282806180734,12812.141913527024,12815.624579407304,13404.219398618916
Democratic Republic of the Congo,75706.23265270045,79253.0766364251,84362.28807324856,81550.22391645594,85152.14164071369,94511.44671871234,97243.36634050393,93650.14438980946,92317.3819964845,93889.57080304551,96668.33899792982,119394.44471721812
Cameroon,25889.087972867168,29390.42011102708,32170.523650695748,31984.15490703276,38747.18116252826,42574.27812652606,44215.70358771316,46723.812846019166,53037.62493371923,54099.971155327206,55322.03109989376,68695.47042834881
South Sudan,4523.371502049778,4208.396970101418,4438.260419409314,4319.288010979183,5339.990353771518,4719.71715103458,4738.620505586617,6099.510104160859,6815.717508219445,7375.615882779102,8555.778843778839,9218.77685707486
Sao Tome and Principe,833.7166013413787,946.996930055846,1208.427224075151,1228.410938183934,1491.6899772483926,1478.5739881727625,1378.878253316704,1433.8777496799537,1441.2219658218178,1435.719449381384,1413.22154608065,1610.2002802167449
Gabon,59685.127099458696,54768.490950110805,58446.54910293756,48629.7863397058,52216.05452712956,68105.37939528094,69655.51228435978,66699.65711030757,69191.14949895807,57183.55357503166,49404.59514031831,60041.59893356444
Chad,31169.02197284057,28544.80819992703,38056.94726123316,37312.68384919794,36328.37504014823,31082.526961909443,26180.20771029644,26547.42968741737,26455.415189596893,32179.3210432325,32625.92366808513,34437.83123943479
Congo,97257.89049979125,49911.39210867488,51311.4727417456,43970.807622425935,49220.3863330902,78455.72514608613,106113.00893535808,147585.02576378966,139059.90886502518,148453.93618717743,143707.6092477482,149338.1230828923
Central African Republic,1047.6622995076957,960.7379670038354,1181.7635876581803,1664.693107088198,1633.9844105175898,1734.1747713466484,1736.5150175675458,1992.88502868636,2698.840904441067,2492.2586548186987,2825.770223962326,3015.6470101891778
Angola,191798.94646651167,188302.3360952312,164510.92363337264,292772.16557382554,205245.87715583,221386.20603361225,240558.11741003176,220111.5307563256,231922.15411797943,239348.9394440084,226866.9742276792,261245.0638206252
Morocco,634888.2576190801,677428.2591162047,722107.950133914,759383.7215426684,859061.4747270214,844451.6050988012,910008.4911480892,918153.4437874876,923190.5154429964,929339.1313958828,1022850.5286912916,1040681.0596266044
Tunisia,324529.17468865233,350181.6760112745,352952.93263955443,368948.25058438175,420846.3341458999,428312.5860258938,455710.1610941381,458367.19609087927,473788.690084134,499678.5606252483,544784.172520341,563701.9060532136
Egypt,2947902.2126786057,2811606.251908197,2823586.255393896,2991907.0396524915,3021669.3405814227,2971326.5057950923,3046784.1814781968,2918575.442773236,3225756.5107525783,3069735.5592078054,2973652.484019889,2949532.620464554
Algeria,2932882.240151916,3222048.6076157927,3295342.943539166,3427872.808864231,3325776.721276853,3277802.657011348,3259984.741731561,3206916.343267577,3068966.540222362,3190881.8437075787,3396550.895781076,3553334.980135783
Libyan Arab Jamahiriya,1199753.5241263297,1029176.9140278626,913860.2728349098,887463.7409974006,1116997.7404726942,1182231.15255608,1223932.0098267128,818264.5602739182,1402113.847548296,1414280.5935934563,1822261.1762938944,1928015.208129451
Sudan,139660.96116300198,141274.76981957705,169817.10293679067,154175.86390453775,182217.0468026004,192369.1139776574,186439.28194747705,214775.90540667585,211020.25344725765,233522.07209875903,208257.4986094141,152007.9701269429
Botswana,42808.95048975435,40749.157889671405,40871.2582335304,44647.3036949581,50443.25164590221,53152.242013266674,60474.254781443306,62959.18475727501,64550.97034272124,67034.09493836618,77025.04646076,84160.25680846057
Lesotho,10042.525712884772,8681.152454444593,7837.440449005116,7602.457640276228,9259.156366665686,8846.534671445392,10954.887915909992,10795.933772829876,10690.406279846093,9380.753437852449,11803.960104969085,13912.147006211322
Swaziland,19511.4708324242,19688.155277411348,18208.597062386783,19453.73017258197,22287.56204433628,19027.143217300138,19431.34693867554,20898.83040678092,20738.290018064607,20466.2479309878,26862.568740833965,30714.42887318005
South Africa,1632117.295139291,1643138.182671422,1572064.407633946,1587770.2105286843,1693627.9044506836,1669762.2715257911,1701456.3381210396,1695846.8134881034,1688463.7185277664,1604336.2187605563,1596334.4235476437,1845073.935485235
Namibia,41764.59857524216,41462.986783812805,43560.83223554106,47776.01402270028,54953.01361676325,55356.03582767699,56814.79427112471,58544.74938071848,58482.62335193445,58214.61314368119,64282.65257797131,67931.44665246291
Niger,21532.3425036076,22317.492268602928,17087.850658270512,16271.681426548654,19036.85844068813,21294.824861585745,23902.12185578183,28443.412920611103,32677.0646910183,36551.096618990574,38485.51881085926,43459.17517461146
Guinea-Bissau,517.0365385597536,477.4215373634124,923.5203703642184,1029.3481975169875,1090.375191971718,1051.9998141361216,1159.9654760464148,1126.3493351045774,1489.4762102210054,2203.261789930919,2215.0226444762125,2726.4185661491224
Cape Verde,3625.937608346312,4042.5350767607074,3958.8766700643664,4253.096764618936,5569.714096518475,5944.941325550625,6274.512540782373,6064.51826028549,6155.964568683626,6485.563507938743,6510.59224078013,6532.550991994963
Benin,14261.362715121631,14120.350365106024,15391.27787152155,14706.645857574757,18788.024422261416,22889.89779290036,23424.748381044228,27355.21335054158,33037.19295533761,33988.35333229105,35877.684706219145,41507.697791705534
Nigeria,822363.8814970884,834066.5552629215,897750.5179268887,680009.1074781051,852581.3581358658,982453.1554518598,910686.4751287916,828087.4614510573,812427.7063962223,699201.6754044113,711993.5609923594,864548.6154797678
Gambia,3302.39046533324,3159.7809307509183,3256.42260713332,3351.7638654002308,3008.63704293487,3441.7671872579594,3976.274657319457,4620.645081229419,6024.730365341549,7823.310975403531,9538.121880210849,12387.440683376904
Burkina Faso,24431.265596617464,24251.604439912247,25105.923923720376,26235.795233597382,30397.64498663375,32288.23157800916,34781.79536854783,40262.01549782507,44879.99307541789,48736.53215350589,53226.41655399391,57596.54826324781
Liberia,2596.267552405537,2491.324358677748,2621.0527343999515,2388.8748907453582,3307.2696234257774,3819.3965489405614,3840.945406367732,4254.448537223128,5440.23429683067,6015.789832724311,8479.394307853549,9727.460353706165
Senegal,27664.904531083223,30994.827138339155,32611.773016911266,33867.77233899358,42433.67279518874,46000.47137467584,52840.50128292286,58768.01058260807,71992.15051272628,90221.99565772703,109458.04824607231,136340.2867767996
Mauritania,12997.163936865449,14433.236910460217,15779.56685325626,18231.930529531382,22783.75238223176,27101.023438562595,29044.865913683705,27472.98773607472,31021.62387110129,34270.47560075567,37782.44190654544,43655.62923230996
Côte d'Ivoire,85882.09181271459,94270.27847633197,107569.07309111864,116988.01475399012,144506.99928139252,155176.1200307991,162434.94694045276,218833.74199303784,265073.6376070976,292923.58286448487,311538.25762979046,350339.20238849206
Sierra Leone,2585.2598806544547,2857.710402506853,2755.09478074096,2697.913392299517,3265.002494389811,3828.963925253527,3985.97869140272,4182.140002375724,4595.673491318669,5595.190350363999,6186.62158739228,6820.619375199198
Mali,21410.17909714349,23277.03521262551,25318.25905792891,29049.814332055543,36167.13347070089,39103.69259753385,41857.14154395533,45799.91290169849,51312.70373977002,58108.95149346485,60127.03627264733,46683.33333175451
Togo,11000.08264860653,12719.34602766119,15966.207792310772,16821.151239718314,20003.84408766324,21943.440205056704,22001.86892509625,25155.091042595413,31725.211665359493,32800.73048919345,38124.39905759493,44410.28076465212
Guinea,8443.598081813987,7580.0362981993985,9032.776807804348,13019.64231483314,15973.710685035468,19643.893716833347,19151.10332465301,22391.065827684422,24387.75875844628,25238.90778426528,31729.64843222639,39700.19581302579
Ghana,131392.47985162796,133099.71400517516,134589.39255501647,178577.91285278174,222762.2366269923,261513.34074178932,276703.1776215731,345184.9443660451,432252.108457252,449418.4960705456,523206.0216263038,613293.2401346525
Jamaica,53958.19909862263,51574.32830642005,52558.68977973433,52181.52582051091,59152.06973195089,59526.64269332044,60572.04415846548,60544.0975792641,61711.85405251733,63814.47848207624,68340.52820615988,67231.80851002953
Grenada,1871.9440255862528,1673.808827645288,1668.808719168194,1577.693508348509,1707.1142002528202,1717.464891559061,1650.5718622754594,1619.714001764503,1609.669598958071,1627.659715415567,1846.000863946536,1967.422281301607
Dominican Republic,135527.90922804247,141727.02562787474,150010.47483094997,151589.25895220556,173096.18494997415,191139.2315912219,210419.4714275507,223100.6638456604,250251.8063895356,271906.8638767011,304582.737225066,327296.4552559338
Barbados,7833.971432144619,7753.466611416106,7520.898430578498,7559.660260354951,8070.161662069313,8134.202948016511,8403.647294569191,7777.249670646943,7911.651478637203,8008.271251827242,8634.530157284644,8922.74195212593
Dominica,838.57857695761,858.6466684813731,908.9502820234624,770.4836758798986,756.5176178317442,511.6982251500966,871.1093875978211,1074.2133511139475,1017.985942858867,978.7182593214748,1168.5787574690933,1155.63661221149
Trinidad and Tobago,114779.0442172872,111568.92848116509,112560.99015825595,105581.42967796988,109375.6994929043,114019.26349261808,116427.51594609515,115479.45751678948,112372.96288816194,113030.6768865975,120681.35415578431,119590.0515915155
Bahamas,27769.2701311837,26593.099914256018,25099.59556721532,21945.317387017418,23113.055465153328,22607.731536702893,21158.562915215844,20458.897989920704,22418.40621897712,22989.125549907112,25506.82081423169,26427.220664555785
Saint Kitts and Nevis,1787.3508577281352,1920.7968036583527,1959.695141026028,1927.4409121594729,2212.953786269123,2420.173464732193,2441.515731298224,2216.7058880031104,2255.77637682674,2365.002382798521,2593.934772146683,2564.668085053504
Saint Lucia,5011.828556414916,4853.469160369426,4900.020879427766,4638.758022456389,5138.1104608982205,4949.142514942791,5093.787231374314,5120.362331955107,5017.675773743085,4940.228680543922,5061.372095525969,3898.1570157585193
Antigua & Barbuda,4568.535102680789,4847.172052357122,4904.688685501978,4566.010494626928,4919.174120877538,4946.370132065929,4482.949118232845,4314.848137354148,4431.859130978583,4876.909697244681,5573.416193424604,5474.843242126707
Haiti,10682.643887345484,10848.643748040691,10281.126308547797,10119.023018994842,11801.103905086364,11809.572742958284,9055.249410921391,7693.127654992304,8362.602910997468,7029.917566575374,6297.110176417053,5963.939161169059
Cuba,154914.0237676372,160569.46624968297,171108.37200840042,162267.10408733803,180626.8253988409,179377.90172699734,176962.8599986876,174712.4083024791,165020.19315750326,151371.05061979956,167370.74041888767,145005.27322871666
Saint Vincent and the Grenadines,893.1449818052204,824.234212754959,873.0513920204896,850.4627809197135,1024.5314849743654,1041.2373588673624,1058.063282996942,1012.841686581164,937.4712098694316,897.7970537739639,1104.6454973164723,1155.4030249439031
Belize,11450.355531651889,11299.96968741241,11252.790901047068,10962.77757268122,12769.043705626387,12882.373610368477,13509.354631049966,14095.999876301186,14408.868551438823,14963.700327657123,17328.086816440493,17704.86208876114
Guatemala,118489.65416013726,123199.41383097306,124971.44997431952,128807.88414267394,151723.86650067745,150052.56409818793,151681.9285493496,146694.37200085408,157406.72716117915,158701.9849731784,186430.3398983035,204700.3586945048
Honduras,101515.97534249489,108660.59544405372,113057.09153550812,104372.44777774355,132052.46160668592,125975.60695863306,127153.95021521214,122858.57808473468,121549.6455724829,112538.69591661726,135814.3440559673,139575.1017794471
Nicaragua,44134.79657345856,46456.2322521645,48477.25797101212,50408.50646037977,61000.55104439768,64430.85388903802,61211.32931491351,62615.74812637087,59539.68841688832,59754.18674041968,60151.50528067653,62987.978894240354
Costa Rica,127953.9567647027,128565.07090887042,132605.7495164291,124102.84410765924,141351.32514161494,143274.58115903515,142277.9198075421,142813.36497645744,139013.36008192174,141644.17899651686,155681.81133845213,155660.9973106344
Panama,81108.09162291393,83637.81420109153,92330.53191926984,90243.78875866704,105826.51578620356,111580.79131836498,116192.37248146004,119877.46631991814,116639.02325911232,120683.5003628112,137799.94677207194,130764.23313688724
El Salvador,44888.11528931237,43778.93382187135,47628.57996365113,45180.83381945606,54137.433545854365,55322.07048831273,52718.49132057119,54204.316290456285,58627.075338017,59937.68647672303,65407.19445471615,70088.04671527368
Mexico,4004507.204358776,3961706.418855843,3864003.819580787,3871716.761464714,4190654.766625512,4180087.396174533,4392021.101535675,4643910.69416187,5124956.441243135,5043437.336811457,5631734.851672532,6185737.922508271
Canada,7026978.785137428,6119814.768474881,5444993.539331454,5102314.53513606,5554895.9571666615,5776005.562606673,6171042.476771587,5721045.959437313,5762136.6185545,6285283.957631061,5962573.549476243,5963740.790804431
United States of America,41589336.77686249,40697751.18890522,39191971.36518552,37438512.13605709,39938716.270106085,40464842.62901312,41454468.29925877,39323501.10777667,41002528.211618185,43331207.35156301,43917822.24502812,44777296.49844118
Suriname,20977.65600743364,22574.930762170672,23045.70831860123,21219.20741556197,24553.219809295915,24014.40012149536,24978.456853288248,25547.825614970818,25948.93901590184,27339.73670390974,31240.00431119706,32743.322670901664
Peru,441593.8488860672,425871.3512087694,429869.78622360993,496539.7569181277,501323.6035448892,528494.2793019002,550156.4946188366,563760.3612556349,584600.4184518566,624552.4468211295,762880.1238248611,837884.3990966973
Paraguay,263426.1061549586,278503.8126410684,290742.48335847544,305429.710154695,353201.61530024617,356355.90039861185,345839.0635489708,383962.70107590384,430266.4088608151,461733.3267850647,524572.3642721184,507908.148718347
Colombia,748405.550078063,780266.5462184772,814982.8276861315,750823.8483020187,836343.3809362536,849460.9319958359,814678.4123048938,801624.5824213014,816352.6608672796,830609.1619135772,994791.2475707984,1018442.897612694
