Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Uganda,379349.6472317916,387230.6055111176,510638.2138185614,480853.6085831368,694772.0747605881,531803.4616720582,497517.2786353134,501607.10863079526,706165.5612038821,686833.1726389267,814864.2340218958,774034.4919791953
Eritrea,63447.55508539873,88060.02937641802,77018.65012180855,48890.99020152008,170124.87750544815,155652.2338490043,118807.7206176489,183106.64649099545,194677.44739534447,208048.6056862871,247641.03333997293,216500.25119323787
Ethiopia,1851353.196214566,1784455.3754346764,1939823.838106278,1711775.238482737,2522484.8679137616,2141659.5040903864,1791372.7457083918,2217395.9426849284,2910224.1145803253,2609553.9439866785,3256436.516476301,3047536.781804648
Comoros,2038.4089131089784,1604.6773276326223,2350.1330036676327,1502.6910246556563,2878.3428779872893,2815.417704772492,2790.577230554497,3063.9345212327507,3399.900731796552,3471.830039439368,4187.44540102926,4321.038495111231
Djibouti,18796.275162313643,17291.962222499707,19034.41764641905,14047.827344649944,37053.60446149286,37544.34470943702,28340.76913776404,38869.19235033657,45612.23779254805,43057.66400981547,54821.18241793594,46242.76603174003
Zambia,1375890.8138514997,1216895.916845832,1622468.6298242852,1338112.7389025353,1773812.3984481222,1782612.0877371663,1462711.5909803745,1768220.277243142,1941359.5268027668,2186275.1549017443,2350379.952379722,2498752.2759141624
Rwanda,50534.01541824022,41825.20951761268,54057.54563871973,44216.98989576471,73995.61715292801,53249.36992083908,53553.86972594397,66778.62872822514,72558.72708139749,96922.53749954782,111503.14600713793,125258.106338057
Mozambique,1480256.3842385716,1413528.950893811,1500807.1609291628,1010361.7942591242,1834395.210051674,1730327.8306426175,1479847.1740854252,1821658.3025233047,1933533.2821647744,2137431.42562864,2257817.3269536304,2275834.0045516826
Somalia,698731.1492608261,474009.80791019584,709033.1383262591,387891.6931573763,1095648.094386985,1007229.6801061984,783231.7815576582,1017819.5242405208,1291395.8209395653,1132235.4671332838,1440236.1118946811,1317744.7652926375
Seychelles,2201.040708441243,2208.5284453754184,2488.405579558133,2187.5764562765103,2463.439321430582,2618.477480994078,2380.3730255326223,2531.4143321682427,2671.7007012959803,2871.592907119266,2694.300801096127,3067.685922642199
Mauritius,24904.85377727769,22545.893368060508,21194.585477999124,21993.869574155586,24488.50664791633,25080.44153883901,25506.38586800129,25910.889500556983,27535.08243368045,32549.113851047863,32660.243223684305,36205.94949473189
Burundi,64658.58283596011,50150.37193487746,94468.34332176983,45027.48600912221,64854.46805551668,46565.56634558625,40794.873925649816,69042.35759169821,67479.2570663553,80325.50757584191,85834.22839649933,119026.99340220634
Madagascar,1062316.6609038194,851222.9641736721,1056348.526654364,1041767.9229514974,1152522.7680533752,1169457.1457324158,1031725.4299752432,1503837.554558563,1376439.1235578912,1443683.0771011217,1729510.290608669,1811748.591599326
Malawi,192207.1454938688,153372.08735523687,177080.0411149463,156297.05013493073,250790.0144514686,248316.3030088485,204282.09378475384,244634.89788862213,284191.8797284872,276163.11237357964,293059.2755130347,309100.85583588504
