Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Uganda,18567.234268976623,18757.90336668703,20024.038433576883,19082.041699591708,26129.91048375847,26940.158056814234,31644.310434785548,34425.15039413319,41372.993141657615,50459.59918974146,62678.11951928254,77217.8938870859
Eritrea,2387.048037501717,2166.4145580736613,2058.772888229273,2008.6062579018424,2832.02777904354,2949.5583097706253,2540.962049068393,2604.918399459824,2232.589414953776,2129.226634977202,2346.2686082644777,2333.387918411108
Ethiopia,43817.54145571951,47949.13811702526,52999.7942121376,50930.36119102446,66205.21263558144,60662.970175360766,58846.744367553234,66003.98774210642,69814.42250156659,75279.91399887257,89531.02338535938,107444.0089060345
Comoros,302.1850349333411,230.4963172496123,169.5208428612467,175.70084917413106,436.9625485248425,524.849744977495,428.3087605494787,453.8560413274695,513.2442983536744,586.5477423131466,602.029931064096,599.3913717129652
Djibouti,2988.842973690377,3169.5002335845343,3558.3197999078848,4097.033018029515,5032.377910799548,5421.726712085394,5612.377901634372,5610.321348256632,6137.854732156209,6280.627179479484,6994.634953175221,7412.790301876324
Zambia,97816.92844244283,96786.70856539375,98770.4051720566,101618.24494127074,121536.00209774503,115148.69538980996,103159.20697407184,102752.54955646711,110947.57585602209,105252.69778442247,129238.24071672976,115536.92231284344
Rwanda,8794.264422200045,9424.929472165106,9849.508497374516,10146.098464084736,13014.349137119276,14032.356059870945,14165.31435860898,16683.458012288684,20817.800872525124,24205.990376216218,34775.83975450365,41041.50000684847
Mozambique,72381.70542662112,78424.40712156302,81121.00956250181,80877.24410146233,91053.19551798466,93370.5603983151,94754.3450784162,99942.46036386942,111125.16548384618,116156.6345728562,133235.4712518204,144681.3941905337
Somalia,3276.0275679750766,3815.132184601793,4576.671924196885,4884.662134624817,6628.022851483844,8124.222596140587,10095.72905770026,12460.325431406203,16000.108968007686,17670.054995800583,20436.100058285392,22878.77991939912
Seychelles,1258.1313844275533,1251.0754300955173,1366.756429702468,1277.9658602350337,1427.5376082867967,1498.4054609504403,1413.4562707691798,1405.2502998902517,1531.051634770748,1567.7572188361016,1624.21709670962,1768.012131534955
Mauritius,14498.203855146296,14281.247708441451,13863.06858595305,14312.151424641652,16334.36129283612,16806.2339315854,17189.70286282097,17259.228825135568,18232.94015308473,20599.83567125149,23576.490907520754,25403.411959910147
Burundi,2066.6585383780666,1691.3715667823349,1771.0451484606556,1716.3505520276883,1601.4401209650096,3003.3646214005407,3036.5909492618603,3737.821640992224,5330.183703696665,4811.752383888762,7284.836433812919,8683.8697316144
Madagascar,10159.878109589015,10039.91714293024,9555.085994654062,9522.438399842713,11603.693178937629,11440.056415125844,12238.791393250722,12334.361286078189,13746.703887835904,15159.036559954988,16679.556052125317,18123.316011431813
Malawi,24645.998861316475,23388.123000437205,23186.36734273775,20005.0558694205,22880.109712007,23948.12714124164,23293.773787471386,25374.95849831655,28509.25833192579,25507.462774771928,30337.909623455653,34085.45607882253
Zimbabwe,52762.83301187502,46530.475116191206,45611.433178168096,44390.27878444087,51374.01267394656,49930.61580285029,46998.62031968238,47014.54592125263,55878.77408119412,60541.246623908766,76109.22249838855,90096.13569144248
United Republic of Tanzania,44713.335399162825,47839.42346784171,52383.77913149705,56163.43987267304,71798.79860662665,78336.16678920214,82019.22895603198,96296.01504269717,125623.6043813197,144653.89583148694,187148.2167811,219458.8888503958
Kenya,57914.61217324777,67362.72048524469,83389.80860769503,89322.49328577559,122622.744739913,134311.4350104609,148405.6507334755,142965.3444738755,157846.7009764228,186848.56049888404,221461.45740785572,230179.5623693039
Equatorial Guinea,10290.662778838914,12649.32133402964,14256.805046623684,12680.314137406876,13895.10579055858,14752.967534791194,14116.047303059036,12707.50243405694,12785.607141563178,12405.052406710329,12481.869276791464,12919.604551827444
Democratic Republic of the Congo,71895.37965499065,75109.73563115744,79298.06659465289,75970.88424212387,83168.27014066928,90989.76495377308,90422.81607352408,90361.41056425168,88637.19457721755,90061.13069661963,91412.12766210757,105029.07602709746
Cameroon,25028.17433438593,28874.02304201481,31303.86600859271,31221.06224049498,37016.05119121241,40950.442434768935,42785.87061518229,45014.55231878343,50656.68679929724,52356.03499355842,52926.22447301488,64835.66166790449
South Sudan,4130.614112927655,3586.140444322239,3992.906441981696,3475.936381568368,4132.558188623423,4287.100548631829,4359.738083649792,5282.661224439624,6236.3250012093895,6667.528942587796,7920.6208158619265,8422.364262851197
Sao Tome and Principe,810.254363839825,929.72253287588,1178.031538830025,1213.321192114969,1418.9648932182322,1437.3730869511762,1353.9273821743093,1373.582686309603,1431.4408130526542,1416.7730808145857,1371.9545787817124,1577.158967614759
Gabon,50262.3759958894,47391.386447048775,46973.406190286754,42677.37721415833,43946.84822759529,54458.93384269611,57597.09869805148,55862.224544423065,57854.16335512075,42469.381929283285,40538.38664238745,48591.4547979903
Chad,27644.460949827288,25590.564044856623,34323.35965376104,34232.2614420021,33182.103523223275,27486.276930538028,23943.63338325685,23343.89362864267,24360.78088336089,28186.31455501447,28641.32627079008,29960.36585034764
Congo,92075.19566895063,47046.181788066606,44768.09645017985,41562.52876421125,45516.75927787475,64097.95378327978,95306.0421479726,133749.88338436958,128392.94711294,116516.95890798396,117523.72629991976,127468.14728335124
Central African Republic,993.3736628589093,879.4435953356146,1088.9490862806638,1081.421962384013,1510.1805511530124,1611.378607221503,1639.907518309647,1780.4552220376684,2029.849408444704,2277.9662667566067,2555.6947223451207,2740.1869460911144
Angola,171078.7619675773,179196.0551583037,165254.11079455132,239761.081792608,199745.3549470573,213690.1485776774,235159.1661662412,221499.07174832773,232253.78227669105,239249.01807958283,232503.4786670161,255419.21096945813
Morocco,616724.9692698733,663300.1386756604,707948.0553983714,750142.1260960399,845076.2497531471,831556.7388167431,908693.6485359472,908378.300577694,909448.2933873788,947794.3030006178,1001933.8052832312,1030506.1477463384
Tunisia,307466.45013318246,338034.66905827203,339541.872731231,358965.59247784835,408167.16389263736,418013.13169768127,445549.8382690818,446520.9304989076,465471.2414701703,491452.2309227768,535136.5140733809,555802.566394318
Egypt,2865036.8350996915,2742634.931593145,2726074.628473084,2892477.0527925016,2927601.7356411875,2889530.912445642,2966753.7178223035,2837943.4389149444,3121690.868221378,3032663.058797532,2893503.1563362903,2886373.203792005
Algeria,2553885.0791501254,2813663.4003895028,2892443.0001009987,3108984.1748034195,3112502.708440484,2961495.9376744647,3024431.1657585474,2921227.1114181965,2751923.653972843,2928753.668953646,3166683.001306551,3289778.905175379
Libyan Arab Jamahiriya,1106876.732097088,945857.0198223618,861081.0282720295,847337.5291082789,1018644.3351030652,1133217.2828778685,1163599.3061897233,718167.2686899492,1335010.4395748142,1287084.0084826082,1701103.9280260806,1802760.007088489
Sudan,127433.40110555064,124518.15128953694,150082.63889109032,145312.88573702073,169742.89528879066,179327.28671148536,174543.86229684803,204888.48198424972,200203.99435361664,219079.70120038887,175140.60092403574,135804.2112141033
Botswana,41549.7858403364,39105.37651114183,39741.298343565504,42254.48993241458,48675.95878689624,51546.51221651476,57768.69904246584,60382.38426590718,62312.700341675605,65358.55900469533,75082.62597969425,81773.98357957437
Lesotho,9648.161883495004,8404.327735335204,7617.939614957199,7343.329862440914,8737.449766496351,8596.792366641526,10620.203407523091,10321.67181989317,10366.106767281832,9271.971959160122,11376.544778855876,13337.178175404842
Swaziland,17835.888818736523,17420.269699490007,16523.94849725096,17409.842680805767,20895.57134503499,18227.95375855752,17887.23264901756,19125.00225320168,18926.00699381577,19636.224831476866,24811.933354317083,25083.18425441958
South Africa,1536408.763403379,1545236.4537149162,1497756.9827913106,1512279.465170222,1625064.5527759187,1617892.6117318105,1639809.5056086853,1619231.7455691334,1596462.7144188443,1524225.2476345247,1519279.6200914285,1736617.459729449
Namibia,40100.13064926311,40412.23859948119,42446.243177539945,45769.01550533829,53625.85067054386,54424.36303942327,55558.948058776434,57004.36908753679,57461.19769108821,57511.87849599619,62917.53835139262,66367.99005344562
