Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Uganda,-75169.2486388812,-127951.34419786124,-40466.04549560202,-86022.0950629924,82554.50853746998,109531.74170082266,43439.41054046748,72699.19701886449,159108.09852428097,105739.72742257072,199177.34461505144,209226.1434469084
Eritrea,-51054.21519618671,-113377.65270766392,-24588.431002174948,-78349.88646501234,12411.61378579672,28581.8054896288,13823.96672399971,2299.5017373385226,54688.27036823865,67385.39850513963,76895.87320078006,77260.40398648278
Ethiopia,-535710.6569263954,-890794.136821862,-216494.73733276656,-712082.5128546096,193699.19000877743,358371.82807635365,62740.11421101456,72666.8919179725,532934.2998064111,683854.655632505,677276.3616242154,685950.1579512071
Comoros,-682.6029492903491,-793.2959009707657,-974.8995473983769,-901.0506595594808,435.6036314067452,737.3216067850445,232.306706242666,1048.0984580631473,1272.597232657842,1003.0517442459771,1624.0991102495886,1575.5568544200794
Djibouti,-8683.996653719709,-14902.712740658231,-1836.914446601279,-12509.663612303011,5112.846466790888,9823.71670524034,5092.257521108541,5368.3379474819,13483.109731760564,17939.63630521,16987.71327857156,17718.944331392544
Zambia,-314026.9207559336,-359627.17935760424,-355985.3753773357,-320845.3062216392,247634.1142083807,248823.1208337677,173083.65727811056,313041.80327120586,489235.5458071231,56071.81007548741,466367.6113417794,495208.4649394414
Rwanda,-2236.002084133728,-2377.7381014593034,1673.0640638653558,-2892.543385990598,16145.584658658528,20235.58706534574,13962.32489224762,24639.70210929901,31096.238778235453,14206.944802299144,40086.252261375885,45708.65862238944
Mozambique,-284347.5702010039,-373300.3663096402,-388354.2406714787,-327286.04115908383,240741.3952717721,278016.8942504704,117992.93270768166,332158.4407944852,506967.3937429144,459176.43313559145,587680.6462396071,656438.1920763433
Somalia,-299305.5964416707,-334176.7132490326,-66965.27847766463,-405750.2633109464,119629.99540083564,225756.05375685115,-17559.12901421965,19407.365698307043,277628.86055458663,415921.59867799527,392048.7851208975,433471.516387829
Seychelles,619.0414847942566,642.6928644678178,736.307059466207,695.4853400997338,944.5358299977908,914.0242024028604,837.0563476829574,927.0120689284804,1049.7643812279778,935.9406694994508,1113.9660418486303,1180.665513414281
Mauritius,9338.738521197589,9701.46786178587,9873.997049168782,10236.714281328175,12356.710089669765,12648.032789153927,12919.646710861674,12972.09471223592,14220.77895056789,14509.091581046769,18054.718707287742,19206.62687560452
Burundi,-7683.221139000825,-9801.528458082788,-7535.759597018997,-13931.426073674358,9154.419246850126,11009.479270019276,5104.424848823973,16299.21952618115,21172.344611744706,-1566.7152872509253,21962.94637213789,22945.26565981176
Madagascar,-266833.7342914089,-284097.6759913441,-311879.86843359243,-267111.7953736019,169851.82386651737,171582.3238882156,44980.90149761092,175950.18464516857,357713.5886113774,-292186.2942094361,419918.1434152324,405268.4037295508
Malawi,-38636.98314479472,-49078.42985544054,-45207.8551252197,-44439.83155545526,39354.423260078285,50346.27774093999,29601.627916360776,47523.126258085766,87680.7998916593,70500.86046555729,84567.43458360535,99167.50125902696
